setting,iteration,map50_mean,map50_sem
YOLOv4 default,1261,0.3166333333333333,0.01506876829000225
YOLOv4 default,1262,0.3166333333333333,0.01506876829000225
YOLOv4 default,1263,0.3166333333333333,0.01506876829000225
YOLOv4 default,1264,0.3166333333333333,0.01506876829000225
YOLOv4 default,1265,0.3166333333333333,0.01506876829000225
YOLOv4 default,1266,0.3166333333333333,0.01506876829000225
YOLOv4 default,1267,0.3166333333333333,0.01506876829000225
YOLOv4 default,1268,0.3166333333333333,0.01506876829000225
YOLOv4 default,1269,0.3166333333333333,0.01506876829000225
YOLOv4 default,1270,0.3166333333333333,0.01506876829000225
YOLOv4 default,1271,0.3166333333333333,0.01506876829000225
YOLOv4 default,1272,0.3166333333333333,0.01506876829000225
YOLOv4 default,1273,0.3166333333333333,0.01506876829000225
YOLOv4 default,1274,0.3166333333333333,0.01506876829000225
YOLOv4 default,1275,0.3166333333333333,0.01506876829000225
YOLOv4 default,1276,0.3166333333333333,0.01506876829000225
YOLOv4 default,1277,0.3166333333333333,0.01506876829000225
YOLOv4 default,1278,0.3166333333333333,0.01506876829000225
YOLOv4 default,1279,0.3166333333333333,0.01506876829000225
YOLOv4 default,1280,0.3166333333333333,0.01506876829000225
YOLOv4 default,1281,0.3166333333333333,0.01506876829000225
YOLOv4 default,1282,0.3166333333333333,0.01506876829000225
YOLOv4 default,1283,0.3166333333333333,0.01506876829000225
YOLOv4 default,1284,0.3166333333333333,0.01506876829000225
YOLOv4 default,1285,0.3166333333333333,0.01506876829000225
YOLOv4 default,1286,0.3166333333333333,0.01506876829000225
YOLOv4 default,1287,0.3166333333333333,0.01506876829000225
YOLOv4 default,1288,0.3166333333333333,0.01506876829000225
YOLOv4 default,1289,0.3166333333333333,0.01506876829000225
YOLOv4 default,1290,0.3166333333333333,0.01506876829000225
YOLOv4 default,1291,0.3166333333333333,0.01506876829000225
YOLOv4 default,1292,0.3166333333333333,0.01506876829000225
YOLOv4 default,1293,0.3166333333333333,0.01506876829000225
YOLOv4 default,1294,0.3166333333333333,0.01506876829000225
YOLOv4 default,1295,0.3166333333333333,0.01506876829000225
YOLOv4 default,1296,0.3166333333333333,0.01506876829000225
YOLOv4 default,1297,0.3166333333333333,0.01506876829000225
YOLOv4 default,1298,0.3166333333333333,0.01506876829000225
YOLOv4 default,1299,0.3166333333333333,0.01506876829000225
YOLOv4 default,1300,0.30583133333333334,0.0039360974009798105
YOLOv4 default,1301,0.30583333333333335,0.007880848798053276
YOLOv4 default,1302,0.30583333333333335,0.007880848798053276
YOLOv4 default,1303,0.30583333333333335,0.007880848798053276
YOLOv4 default,1304,0.30583333333333335,0.007880848798053276
YOLOv4 default,1305,0.30583333333333335,0.007880848798053276
YOLOv4 default,1306,0.30583333333333335,0.007880848798053276
YOLOv4 default,1307,0.30583333333333335,0.007880848798053276
YOLOv4 default,1308,0.30583333333333335,0.007880848798053276
YOLOv4 default,1309,0.30583333333333335,0.007880848798053276
YOLOv4 default,1310,0.30583333333333335,0.007880848798053276
YOLOv4 default,1311,0.30583333333333335,0.007880848798053276
YOLOv4 default,1312,0.30583333333333335,0.007880848798053276
YOLOv4 default,1313,0.30583333333333335,0.007880848798053276
YOLOv4 default,1314,0.30583333333333335,0.007880848798053276
YOLOv4 default,1315,0.30583333333333335,0.007880848798053276
YOLOv4 default,1316,0.30583333333333335,0.007880848798053276
YOLOv4 default,1317,0.30583333333333335,0.007880848798053276
YOLOv4 default,1318,0.30583333333333335,0.007880848798053276
YOLOv4 default,1319,0.30583333333333335,0.007880848798053276
YOLOv4 default,1320,0.30583333333333335,0.007880848798053276
YOLOv4 default,1321,0.30583333333333335,0.007880848798053276
YOLOv4 default,1322,0.30583333333333335,0.007880848798053276
YOLOv4 default,1323,0.30583333333333335,0.007880848798053276
YOLOv4 default,1324,0.30583333333333335,0.007880848798053276
YOLOv4 default,1325,0.30583333333333335,0.007880848798053276
YOLOv4 default,1326,0.30583333333333335,0.007880848798053276
YOLOv4 default,1327,0.30583333333333335,0.007880848798053276
YOLOv4 default,1328,0.30583333333333335,0.007880848798053276
YOLOv4 default,1329,0.30583333333333335,0.007880848798053276
YOLOv4 default,1330,0.30583333333333335,0.007880848798053276
YOLOv4 default,1331,0.30583333333333335,0.007880848798053276
YOLOv4 default,1332,0.30583333333333335,0.007880848798053276
YOLOv4 default,1333,0.30583333333333335,0.007880848798053276
YOLOv4 default,1334,0.30583333333333335,0.007880848798053276
YOLOv4 default,1335,0.30583333333333335,0.007880848798053276
YOLOv4 default,1336,0.30583333333333335,0.007880848798053276
YOLOv4 default,1337,0.30583333333333335,0.007880848798053276
YOLOv4 default,1338,0.30583333333333335,0.007880848798053276
YOLOv4 default,1339,0.30583333333333335,0.007880848798053276
YOLOv4 default,1340,0.30583333333333335,0.007880848798053276
YOLOv4 default,1341,0.30583333333333335,0.007880848798053276
YOLOv4 default,1342,0.30583333333333335,0.007880848798053276
YOLOv4 default,1343,0.30583333333333335,0.007880848798053276
YOLOv4 default,1344,0.30583333333333335,0.007880848798053276
YOLOv4 default,1345,0.30583333333333335,0.007880848798053276
YOLOv4 default,1346,0.30583333333333335,0.007880848798053276
YOLOv4 default,1347,0.30583333333333335,0.007880848798053276
YOLOv4 default,1348,0.30583333333333335,0.007880848798053276
YOLOv4 default,1349,0.30583333333333335,0.007880848798053276
YOLOv4 default,1350,0.30583333333333335,0.007880848798053276
YOLOv4 default,1351,0.30583333333333335,0.007880848798053276
YOLOv4 default,1352,0.30583333333333335,0.007880848798053276
YOLOv4 default,1353,0.30583333333333335,0.007880848798053276
YOLOv4 default,1354,0.30583333333333335,0.007880848798053276
YOLOv4 default,1355,0.30583333333333335,0.007880848798053276
YOLOv4 default,1356,0.30583333333333335,0.007880848798053276
YOLOv4 default,1357,0.30583333333333335,0.007880848798053276
YOLOv4 default,1358,0.30583333333333335,0.007880848798053276
YOLOv4 default,1359,0.30583333333333335,0.007880848798053276
YOLOv4 default,1360,0.30583333333333335,0.007880848798053276
YOLOv4 default,1361,0.30583333333333335,0.007880848798053276
YOLOv4 default,1362,0.30583333333333335,0.007880848798053276
YOLOv4 default,1363,0.30583333333333335,0.007880848798053276
YOLOv4 default,1364,0.30583333333333335,0.007880848798053276
YOLOv4 default,1365,0.30583333333333335,0.007880848798053276
YOLOv4 default,1366,0.30583333333333335,0.007880848798053276
YOLOv4 default,1367,0.30583333333333335,0.007880848798053276
YOLOv4 default,1368,0.30583333333333335,0.007880848798053276
YOLOv4 default,1369,0.30583333333333335,0.007880848798053276
YOLOv4 default,1370,0.30583333333333335,0.007880848798053276
YOLOv4 default,1371,0.30583333333333335,0.007880848798053276
YOLOv4 default,1372,0.30583333333333335,0.007880848798053276
YOLOv4 default,1373,0.30583333333333335,0.007880848798053276
YOLOv4 default,1374,0.30583333333333335,0.007880848798053276
YOLOv4 default,1375,0.30583333333333335,0.007880848798053276
YOLOv4 default,1376,0.30583333333333335,0.007880848798053276
YOLOv4 default,1377,0.30583333333333335,0.007880848798053276
YOLOv4 default,1378,0.30583333333333335,0.007880848798053276
YOLOv4 default,1379,0.30583333333333335,0.007880848798053276
YOLOv4 default,1380,0.30583333333333335,0.007880848798053276
YOLOv4 default,1381,0.30583333333333335,0.007880848798053276
YOLOv4 default,1382,0.30583333333333335,0.007880848798053276
YOLOv4 default,1383,0.30583333333333335,0.007880848798053276
YOLOv4 default,1384,0.30583333333333335,0.007880848798053276
YOLOv4 default,1385,0.30583333333333335,0.007880848798053276
YOLOv4 default,1386,0.30583333333333335,0.007880848798053276
YOLOv4 default,1387,0.30583333333333335,0.007880848798053276
YOLOv4 default,1388,0.30583333333333335,0.007880848798053276
YOLOv4 default,1389,0.30583333333333335,0.007880848798053276
YOLOv4 default,1390,0.30583333333333335,0.007880848798053276
YOLOv4 default,1391,0.30583333333333335,0.007880848798053276
